﻿"№ ГОЛОСА";"ИЗБИР. ОКРУГ";"АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ";"БЛОК ГОЛОСА";"ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА";"ЗАШИФРОВАННЫЙ ГОЛОС"
"0";77;"0x0049403d74b95f8a2a8a8637aab541da5729e563613fdb05de5cfaeb05e97565";"#14846";"07:01:18";"{""message"":""dda2f36ef98d64252c5f4d8f627b7f681fcce117"",""nonce"":""0e3672b8af5be2e34eaf4353ec6e7a4bce50acec881233d8"",""public_key"":""80dc6b8ed8912b173fda210131cd4c1352b71046bed353408bdf6fe12d63fd2f""}"
"1";77;"0x00f2fe04a5a9f10dff6e854c6944f93115b82ae1fd84332094def3f174441c31";"#14846";"07:01:18";"{""message"":""6b94b1795b5b9a96d2a33531951b8557e1e34c62"",""nonce"":""d87c81da282016a3940fe97159ca82eaeb5e9daaf7c0c9a6"",""public_key"":""097a05459b2970a41a7ecbb1ee5eed0e7ea9d2451abc6bffb504712b952b5534""}"
"2";77;"0x09eae1ddab4b5ce6724d7e6511db7b126ef36bdce78a3c26065c213abd10d1a1";"#14846";"07:01:18";"{""message"":""e8c8f8c5427f749df6b0f060f59836b4467e573a"",""nonce"":""d8abaee2924c16118019f08c05e3eb03d4786fe75ba6b782"",""public_key"":""2ab387928f94a516919bf5fb1f518c2bfb39311f2e143a3ef199e5819f2ddf0d""}"
"3";77;"0x50d7bf8d8dbc5fa2f4dc15400678f14a0cdb1708fb6c4c639d7973fed3d6ae25";"#14846";"07:01:18";"{""message"":""a6b76029e8d95da66ba4cc436a2760a049e1f8fb"",""nonce"":""c4d5e124400bad657f853634e7a6de1cd14df4e991907463"",""public_key"":""96e0347b09c9c2d3d1f6167c9c0c63de7b1871ac331c9cdd3391c53a66f99224""}"
"4";77;"0xaf90a10c247c4e81c9c8ca9ea2ef0e1fbaf5bb840bf3cec755dd746aaa245d6f";"#14846";"07:01:18";"{""message"":""59f9bb86a0da52e379572b5ffd1ecd5b7bcd420c"",""nonce"":""1ed52a6c65764af3c7f706f039ff6f638cdef8759e022b65"",""public_key"":""0d9587633b9770fe682e9e75c2827330eb9b7143b65834688817d8fc170bd82d""}"
"5";77;"0x5f632007eed88c5b99078a494e697e69b2b3d8b95e3541cae1899a4803ee0d86";"#14846";"07:01:18";"{""message"":""b79df24890ad32b708aa061aa7627ebddc3561a8"",""nonce"":""a38d9954d4821ef1d809e05fb8d1c4c5716e6ed17cca769a"",""public_key"":""0508cc73713b805864a009039c4c9bfa3ffb4d852fdba7f883e5f7c89e44165d""}"
"6";77;"0x983a027c4a29675716d5d8df81afe55cd54158a34efb1912140a4b60c9b2668a";"#14846";"07:01:18";"{""message"":""75d5996af9f39f76a605d6d2aac1a0a5173adf8f"",""nonce"":""c758a38d10339f2ec7851a0f0c75d6ca0973f0f866eba9b3"",""public_key"":""08cba64994b9a233e645835573eb7ea20eb7458c22e5129fab7e79e30c39db61""}"
"8";77;"0x15ec633a04641832b823c5769b929f6b70266df268239bb07c7d83e59b545292";"#14846";"07:01:18";"{""message"":""6328c8ab74ebe0c5206fa7e7fc9ed728c9619fd7"",""nonce"":""3c0ce213298eea6b68601da59be41ad0b00caea2127ff113"",""public_key"":""57b292aa809f382439419899223103267a506fbae34587e51c63b0103ee56c38""}"
"7";77;"0xd9c13e39af1876d9b8f74fc13773df3949ec762c356a0f18968934bad79e0112";"#14846";"07:01:18";"{""message"":""775455b57c04f8023cc04cf9ffc371c31d28e329"",""nonce"":""1db33a942b7743bd33392e32fbaae38ef06ffae871006fd1"",""public_key"":""cebdfe7afc78ab9f4f11164a943297e1a3e158c88eac7b53f04167e053147258""}"
"9";77;"0xf6d688826151714e80b62d64c90f15da522e43ec15dc6f7a48c3272248688b90";"#14846";"07:01:18";"{""message"":""124e94d1c39c30e78495eaf4e74868119958f137"",""nonce"":""a8675ff548971ee47212eb63e1a2e033bdf221e525a2d441"",""public_key"":""c8d10002b7596aea329b2814c66632270cdddbc9eec6ece0a9f57560a58c696e""}"
"10";52;"0x036a88a8f13edb69db9cac7c6a94eabe7e99b684265c84a65689750c7f11f4ae";"#14846";"07:01:18";"{""message"":""b67e0febb2d80a3d5b4ba5784cfe5379bb66883a"",""nonce"":""278494c1279a3de1f120146076954cb738ac927fa317baca"",""public_key"":""af717e14f09c89b127fc7ac2eb6765036b79fcd68c6eac006b62ebf9d4013235""}"
